City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,72.32,66,100,11.63,PF,2021-11-01 21:46:03
1,Brechin,56.7299,-2.6573,47.25,78,97,13.85,GB,2021-11-01 21:46:03
2,Mount Isa,-20.7333,139.5,82.17,54,87,11.5,AU,2021-11-01 21:46:03
3,Albany,42.6001,-73.9662,51.75,46,37,6.15,US,2021-11-01 21:41:12
4,Malindi,-3.2175,40.1191,77.88,87,23,8.28,KE,2021-11-01 21:46:04
5,Huancavelica,-12.7667,-74.9833,46.45,67,89,5.01,PE,2021-11-01 21:46:04
6,Hermanus,-34.4187,19.2345,54.9,68,9,9.48,ZA,2021-11-01 21:46:04
7,Rio Grande,-32.035,-52.0986,77.11,88,100,15.46,BR,2021-11-01 21:44:47
8,Hobart,-42.8794,147.3294,61.02,77,75,1.99,AU,2021-11-01 21:46:05
9,Busselton,-33.65,115.3333,50.04,74,100,11.3,AU,2021-11-01 21:46:05
10,Mataura,-46.1927,168.8643,51.53,53,41,8.79,NZ,2021-11-01 21:46:05
11,Tiksi,71.6872,128.8694,4.51,92,88,6.69,RU,2021-11-01 21:46:06
12,Banepa,27.6298,85.5214,55.72,94,75,2.3,NP,2021-11-01 21:46:06
13,Lebu,-37.6167,-73.65,55.67,72,23,7.7,CL,2021-11-01 21:46:06
14,New Norfolk,-42.7826,147.0587,60.66,69,50,3.0,AU,2021-11-01 21:46:06
15,Saldanha,-33.0117,17.9442,53.65,61,1,4.92,ZA,2021-11-01 21:46:07
16,Dire Dawa,9.5931,41.8661,66.85,36,18,0.85,ET,2021-11-01 21:46:07
17,Wuchang,44.9143,127.15,33.48,81,9,2.86,CN,2021-11-01 21:46:07
18,Puerto Ayora,-0.7393,-90.3518,71.2,78,56,8.99,EC,2021-11-01 21:46:08
19,Avarua,-21.2078,-159.775,78.85,69,75,17.27,CK,2021-11-01 21:46:08
20,Nikolskoye,59.7035,30.7861,43.88,83,89,6.78,RU,2021-11-01 21:46:08
21,Souillac,-20.5167,57.5167,73.78,78,40,6.91,MU,2021-11-01 21:46:09
22,Vaini,-21.2,-175.2,80.76,89,75,9.22,TO,2021-11-01 21:46:09
23,Victoria,22.2855,114.1577,77.38,81,94,8.99,HK,2021-11-01 21:44:22
24,Vila Franca Do Campo,37.7167,-25.4333,74.19,92,85,4.18,PT,2021-11-01 21:46:10
25,Kapaa,22.0752,-159.319,82.47,74,20,1.99,US,2021-11-01 21:46:10
26,East London,-33.0153,27.9116,64.18,60,72,17.81,ZA,2021-11-01 21:41:39
27,Bubaque,11.2833,-15.8333,82.76,76,74,14.03,GW,2021-11-01 21:46:10
28,Batemans Bay,-35.7167,150.1833,72.19,64,8,1.7,AU,2021-11-01 21:46:10
29,Lagoa,39.05,-27.9833,69.22,88,93,6.8,PT,2021-11-01 21:46:11
30,Bulgan,48.8125,103.5347,27.57,43,2,5.44,MN,2021-11-01 21:46:11
31,Phalaborwa,-23.943,31.1411,79.88,36,0,2.35,ZA,2021-11-01 21:46:11
32,Airai,-8.9266,125.4092,63.21,75,88,2.06,TL,2021-11-01 21:46:12
33,Kieta,-6.2167,155.6333,83.28,70,77,0.98,PG,2021-11-01 21:46:12
34,Jawhar,2.7809,45.5005,77.56,81,53,10.11,SO,2021-11-01 21:46:12
35,Leningradskiy,69.3833,178.4167,2.91,78,100,10.87,RU,2021-11-01 21:46:13
36,Ketchikan,55.3422,-131.6461,52.27,54,1,0.0,US,2021-11-01 21:46:13
37,Sibay,52.7181,58.6658,36.91,85,51,5.19,RU,2021-11-01 21:46:13
38,Fort Saint James,54.4333,-124.25,39.81,35,0,2.84,CA,2021-11-01 21:46:14
39,Punta Arenas,-53.15,-70.9167,51.91,50,75,12.66,CL,2021-11-01 21:42:19
40,Kahului,20.8947,-156.47,86.02,65,20,10.36,US,2021-11-01 21:46:14
41,Beringovskiy,63.05,179.3167,-1.39,90,29,14.74,RU,2021-11-01 21:46:14
42,Arrifes,37.7667,-25.7,72.23,100,75,3.44,PT,2021-11-01 21:46:14
43,Labuhan,-6.8844,112.2051,78.71,84,47,6.71,ID,2021-11-01 21:46:15
44,Basco,20.4487,121.9702,79.93,74,100,19.82,PH,2021-11-01 21:46:15
45,Tasiilaq,65.6145,-37.6368,26.76,64,23,5.55,GL,2021-11-01 21:46:15
46,Chokurdakh,70.6333,147.9167,1.49,97,100,8.61,RU,2021-11-01 21:46:16
47,Farafangana,-22.8167,47.8333,73.27,94,69,8.41,MG,2021-11-01 21:47:16
48,Guanare,9.0418,-69.7421,87.82,58,60,8.05,VE,2021-11-01 21:47:16
49,Touros,-5.1989,-35.4608,81.5,73,99,12.73,BR,2021-11-01 21:47:17
50,Jidong,45.2167,131.0833,31.98,75,22,1.72,CN,2021-11-01 21:47:17
51,Katsuura,35.1333,140.3,64.11,91,100,8.68,JP,2021-11-01 21:47:18
52,Ribeira Grande,38.5167,-28.7,70.2,100,75,8.05,PT,2021-11-01 21:47:18
53,Bethel,41.3712,-73.414,57.29,46,1,6.91,US,2021-11-01 21:47:18
54,Saint George,37.1041,-113.5841,74.95,28,1,1.01,US,2021-11-01 21:47:18
55,Fukue,32.6881,128.8419,64.0,57,77,16.17,JP,2021-11-01 21:47:19
56,Karratha,-20.7377,116.8463,67.53,64,2,11.99,AU,2021-11-01 21:47:19
57,Rennes,48.1667,-1.6667,48.24,93,99,8.05,FR,2021-11-01 21:46:24
58,Lorengau,-2.0226,147.2712,83.1,70,98,2.73,PG,2021-11-01 21:47:20
59,Ushuaia,-54.8,-68.3,55.06,50,0,21.85,AR,2021-11-01 21:47:20
60,Det Udom,14.906,105.0784,75.02,93,90,0.58,TH,2021-11-01 21:47:20
61,Yellowknife,62.456,-114.3525,38.41,87,75,14.97,CA,2021-11-01 21:47:20
62,Longyearbyen,78.2186,15.6401,26.44,100,90,19.57,SJ,2021-11-01 21:47:21
63,Guerrero Negro,27.9769,-114.0611,70.99,66,43,15.77,MX,2021-11-01 21:47:21
64,Cape Town,-33.9258,18.4232,59.11,79,20,2.3,ZA,2021-11-01 21:47:22
65,Caramay,10.1815,119.236,79.86,86,94,7.49,PH,2021-11-01 21:47:22
66,Itoman,26.1247,127.6694,73.42,64,20,10.36,JP,2021-11-01 21:47:22
67,Codrington,-38.2667,141.9667,63.46,64,4,9.82,AU,2021-11-01 21:47:23
68,Bac Lieu,9.285,105.7244,79.95,81,100,14.12,VN,2021-11-01 21:47:23
69,Mar Del Plata,-38.0023,-57.5575,57.09,93,90,5.01,AR,2021-11-01 21:47:23
70,Bambous Virieux,-20.3428,57.7575,73.65,78,40,6.91,MU,2021-11-01 21:47:23
71,Comodoro Rivadavia,-45.8667,-67.5,57.06,72,0,9.22,AR,2021-11-01 21:47:24
72,Barrow,71.2906,-156.7887,19.42,86,90,13.8,US,2021-11-01 21:43:18
73,Atuona,-9.8,-139.0333,78.35,70,23,13.87,PF,2021-11-01 21:47:24
74,Faanui,-16.4833,-151.75,79.23,79,15,11.56,PF,2021-11-01 21:47:25
75,Upernavik,72.7868,-56.1549,23.92,87,100,13.8,GL,2021-11-01 21:47:25
76,Havoysund,70.9963,24.6622,43.68,83,100,30.11,NO,2021-11-01 21:47:25
77,Tuktoyaktuk,69.4541,-133.0374,24.8,86,75,6.91,CA,2021-11-01 21:47:26
78,Anori,-3.7728,-61.6442,75.65,94,100,4.32,BR,2021-11-01 21:47:26
79,Butaritari,3.0707,172.7902,81.54,74,23,10.85,KI,2021-11-01 21:47:26
80,Santa Isabel Do Rio Negro,-0.4139,-65.0192,78.73,86,97,1.68,BR,2021-11-01 21:47:26
81,Tautira,-17.7333,-149.15,82.42,83,40,16.49,PF,2021-11-01 21:47:27
82,Ankpa,7.3706,7.6253,72.23,92,98,5.84,NG,2021-11-01 21:47:27
83,Novopokrovka,49.8425,36.5477,46.78,94,45,6.91,UA,2021-11-01 21:47:27
84,Norman Wells,65.282,-126.8329,23.04,93,75,4.61,CA,2021-11-01 21:47:28
85,Port Elizabeth,-33.918,25.5701,61.11,72,0,26.46,ZA,2021-11-01 21:47:28
86,Salalah,17.0151,54.0924,75.29,78,0,4.61,OM,2021-11-01 21:47:28
87,Kirakira,-10.4544,161.9205,84.24,71,62,6.49,SB,2021-11-01 21:48:29
88,Cape Girardeau,37.3834,-89.7168,53.19,45,100,9.33,US,2021-11-01 21:48:29
89,Umba,66.6871,34.3429,37.85,99,100,8.25,RU,2021-11-01 21:48:29
90,Jamestown,42.097,-79.2353,47.79,66,90,5.99,US,2021-11-01 21:45:20
91,Jamnagar,22.4667,70.0667,76.91,55,0,3.44,IN,2021-11-01 21:48:30
92,Ponta Do Sol,32.6667,-17.1,71.71,72,61,3.38,PT,2021-11-01 21:48:30
93,Yumen,40.2833,97.2,36.64,41,18,6.76,CN,2021-11-01 21:48:30
94,Alofi,-19.0595,-169.9187,80.49,65,75,13.8,NU,2021-11-01 21:48:31
95,Tilichiki,60.4667,166.1,-6.36,94,37,9.44,RU,2021-11-01 21:48:31
