City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Mataura,NZ,-46.1927,168.8643,49.48,78,100,0.43,overcast clouds,2021-11-04 19:11:39
1,Isangel,VU,-19.55,169.2667,74.05,87,89,14.34,overcast clouds,2021-11-04 19:11:39
2,Nikolskoye,RU,59.7035,30.7861,46.4,94,26,6.91,scattered clouds,2021-11-04 19:09:27
3,Kudat,MY,6.8837,116.8477,77.99,86,86,2.53,overcast clouds,2021-11-04 19:11:39
4,Deogarh,IN,21.5333,84.7333,67.84,74,4,2.08,clear sky,2021-11-04 19:11:40
5,Rincon,US,32.296,-81.2354,66.16,58,75,1.01,broken clouds,2021-11-04 19:11:40
6,Vao,NC,-22.6667,167.4833,68.7,61,100,10.78,overcast clouds,2021-11-04 19:11:40
7,Atuona,PF,-9.8,-139.0333,77.85,64,31,16.46,scattered clouds,2021-11-04 19:10:01
8,Port Alfred,ZA,-33.5906,26.891,65.46,88,99,3.4,overcast clouds,2021-11-04 19:11:41
9,Langres,FR,47.8333,5.3333,41.85,93,100,6.93,overcast clouds,2021-11-04 19:11:41
10,Butaritari,KI,3.0707,172.7902,82.8,74,13,16.24,few clouds,2021-11-04 19:11:41
11,Mar Del Plata,AR,-38.0023,-57.5575,66.22,99,90,13.0,mist,2021-11-04 19:11:42
12,Rikitea,PF,-23.1203,-134.9692,73.53,79,100,12.37,light rain,2021-11-04 19:09:11
13,Gisenyi,RW,-1.7028,29.2564,64.09,90,95,1.39,light rain,2021-11-04 19:11:42
14,Mbeya,TZ,-8.9,33.45,66.02,51,28,6.24,scattered clouds,2021-11-04 19:11:42
15,Ushuaia,AR,-54.8,-68.3,51.42,57,75,26.46,moderate rain,2021-11-04 19:11:43
16,Teya,RU,60.3778,92.6267,10.35,85,100,13.11,overcast clouds,2021-11-04 19:11:43
17,Synya,RU,65.3718,58.0387,32.9,97,100,12.37,snow,2021-11-04 19:11:43
18,Hermanus,ZA,-34.4187,19.2345,62.91,85,97,9.71,overcast clouds,2021-11-04 19:09:08
19,Kaitangata,NZ,-46.2817,169.8464,46.94,69,100,3.89,overcast clouds,2021-11-04 19:09:38
20,Port Elizabeth,ZA,-33.918,25.5701,60.1,82,12,4.65,few clouds,2021-11-04 19:11:44
21,Yellowknife,CA,62.456,-114.3525,38.41,95,0,5.99,clear sky,2021-11-04 19:08:48
22,San Patricio,US,28.017,-97.5169,59.09,68,87,14.65,overcast clouds,2021-11-04 19:11:44
23,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,29,4.99,scattered clouds,2021-11-04 19:11:44
24,Birao,CF,10.2849,22.7882,82.38,40,26,3.74,scattered clouds,2021-11-04 19:11:45
25,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,14.97,broken clouds,2021-11-04 19:11:45
26,Deputatskiy,RU,69.3,139.9,-8.84,99,87,3.58,overcast clouds,2021-11-04 19:10:59
27,George,ZA,-33.963,22.4617,60.66,72,100,1.88,overcast clouds,2021-11-04 19:11:45
28,Barrow,US,71.2906,-156.7887,23.02,80,90,13.8,overcast clouds,2021-11-04 19:11:46
29,Husavik,IS,66.0449,-17.3389,30.88,96,98,5.19,light snow,2021-11-04 19:11:46
30,Moron,AR,-34.6534,-58.6198,84.94,61,39,3.0,scattered clouds,2021-11-04 19:11:46
31,Te Anau,NZ,-45.4167,167.7167,44.85,89,100,0.49,overcast clouds,2021-11-04 19:11:47
32,Dicabisagan,PH,17.0818,122.4157,76.46,87,100,5.73,overcast clouds,2021-11-04 19:11:47
33,Kodiak,US,57.79,-152.4072,35.11,87,20,0.0,few clouds,2021-11-04 19:11:47
34,Halifax,CA,44.6453,-63.5724,51.01,55,67,1.99,broken clouds,2021-11-04 19:11:40
35,Yulara,AU,-25.2406,130.9889,73.24,60,52,3.44,broken clouds,2021-11-04 19:11:48
36,Sioux Lookout,CA,50.1001,-91.917,42.08,58,4,9.06,clear sky,2021-11-04 19:11:48
37,Bredasdorp,ZA,-34.5322,20.0403,60.28,78,100,9.98,overcast clouds,2021-11-04 19:11:48
38,Georgetown,MY,5.4112,100.3354,78.73,92,20,4.61,few clouds,2021-11-04 19:11:27
39,Hilo,US,19.7297,-155.09,78.62,70,90,4.61,overcast clouds,2021-11-04 19:07:26
