,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
1,Isangel,VU,74.05,-19.55,169.2667,overcast clouds,Tanna Lodge
3,Kudat,MY,77.99,6.8837,116.8477,overcast clouds,Dream Garden Hotel
4,Deogarh,IN,67.84,21.5333,84.7333,clear sky,Amit Henej House
5,Rincon,US,66.16,32.296,-81.2354,broken clouds,Days Inn Rincon
6,Vao,NC,68.7,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
7,Atuona,PF,77.85,-9.8,-139.0333,scattered clouds,Villa Enata
8,Port Alfred,ZA,65.46,-33.5906,26.891,overcast clouds,The Halyards Hotel
10,Butaritari,KI,82.8,3.0707,172.7902,few clouds,Isles Sunset Lodge
11,Mar Del Plata,AR,66.22,-38.0023,-57.5575,mist,Gran Hotel Mar del Plata
12,Rikitea,PF,73.53,-23.1203,-134.9692,light rain,People ThankYou
13,Gisenyi,RW,64.09,-1.7028,29.2564,light rain,Palm garden Resort
14,Mbeya,TZ,66.02,-8.9,33.45,scattered clouds,Leda Lodge
18,Hermanus,ZA,62.91,-34.4187,19.2345,overcast clouds,Misty Waves Boutique Hotel
20,Port Elizabeth,ZA,60.1,-33.918,25.5701,few clouds,39 On Nile Guest House
23,Saint-Philippe,RE,72.99,-21.3585,55.7679,scattered clouds,"Chambres d'hôte ""La Trinité"""
24,Birao,CF,82.38,10.2849,22.7882,scattered clouds,
25,Arraial Do Cabo,BR,76.86,-22.9661,-42.0278,broken clouds,Pousada Porto Praia
27,George,ZA,60.66,-33.963,22.4617,overcast clouds,Protea Hotel by Marriott George King George
30,Moron,AR,84.94,-34.6534,-58.6198,scattered clouds,Hotel Morón
32,Dicabisagan,PH,76.46,17.0818,122.4157,overcast clouds,Nancy Montanes Bernardo
35,Yulara,AU,73.24,-25.2406,130.9889,broken clouds,Desert Gardens Hotel - Ayers Rock Resort
37,Bredasdorp,ZA,60.28,-34.5322,20.0403,overcast clouds,Bredasdorp Country Manor
38,Georgetown,MY,78.73,5.4112,100.3354,few clouds,Cititel Penang
39,Hilo,US,78.62,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
40,Vaini,TO,75.36,-21.2,-175.2,light rain,Keleti Beach Resort
44,Basco,PH,80.82,20.4487,121.9702,clear sky,Nathaniel's Lodge
45,Kapaa,US,78.78,22.0752,-159.319,moderate rain,Sheraton Kauai Coconut Beach Resort
47,Williston,US,61.54,48.147,-103.618,broken clouds,Hampton Inn & Suites Williston
48,Makakilo City,US,79.12,21.3469,-158.0858,broken clouds,Marriott's Ko Olina Beach Club
52,Hithadhoo,MV,82.56,-0.6,73.0833,overcast clouds,Scoop Guest House
54,Esperance,AU,60.64,-33.8667,121.9,overcast clouds,Hospitality Esperance
55,Soverato,IT,69.75,38.685,16.5499,overcast clouds,Hotel San Domenico
56,Sao Filipe,CV,80.06,14.8961,-24.4956,broken clouds,Hotel Xaguate
57,Non Sang,TH,76.86,16.8687,102.5664,overcast clouds,Sabaidee@Home Nonsang
58,Port Hedland,AU,71.65,-20.3167,118.5667,clear sky,The Esplanade Hotel
59,Dawei,MM,74.82,14.0833,98.2,light rain,Hotel Dawei
61,Victoria,HK,78.33,22.2855,114.1577,scattered clouds,Mini Hotel Central
63,Guerrero Negro,MX,73.76,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
64,San Quintin,MX,69.73,30.4833,-115.95,clear sky,Don Eddie's Sport Fishing Center
