City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Upernavik,72.7868,-56.1549,24.49,92,100,6.96,overcast clouds,2021-11-03 20:58:59
1,Luderitz,-26.6481,15.1594,58.96,61,3,15.5,clear sky,2021-11-03 20:58:36
2,Albany,42.6001,-73.9662,47.17,56,71,8.88,broken clouds,2021-11-03 21:00:02
3,Cape Town,-33.9258,18.4232,61.27,80,40,6.91,scattered clouds,2021-11-03 20:58:44
4,Punta Arenas,-53.15,-70.9167,55.11,47,96,17.49,overcast clouds,2021-11-03 21:00:22
5,Tuktoyaktuk,69.4541,-133.0374,19.4,93,75,8.05,broken clouds,2021-11-03 21:01:48
6,Oranjestad,12.524,-70.027,84.15,74,20,18.41,few clouds,2021-11-03 21:03:15
7,Tiksi,71.6872,128.8694,-10.35,98,92,9.19,overcast clouds,2021-11-03 21:03:15
8,Dikson,73.5069,80.5464,14.86,93,71,8.1,broken clouds,2021-11-03 21:01:42
9,Wanning,18.8003,110.3967,75.72,90,60,3.8,broken clouds,2021-11-03 21:02:22
10,Ribeira Grande,38.5167,-28.7,68.4,94,75,18.41,broken clouds,2021-11-03 21:04:57
11,Hermanus,-34.4187,19.2345,59.9,79,3,11.7,clear sky,2021-11-03 21:01:41
12,Chuy,-33.6971,-53.4616,65.1,97,100,13.27,overcast clouds,2021-11-03 21:01:43
13,Port Shepstone,-30.7414,30.455,65.37,80,54,12.64,broken clouds,2021-11-03 21:04:58
14,Brumunddal,60.881,10.9395,43.27,92,100,3.2,light rain,2021-11-03 21:04:58
15,Atuona,-9.8,-139.0333,78.03,66,61,12.44,broken clouds,2021-11-03 20:58:33
16,Clive,41.603,-93.7241,49.37,55,90,8.99,overcast clouds,2021-11-03 21:04:58
17,Cukai,4.25,103.4167,76.37,87,100,3.44,overcast clouds,2021-11-03 21:04:58
18,Arraial Do Cabo,-22.9661,-42.0278,73.36,83,40,11.5,scattered clouds,2021-11-03 20:58:11
19,Busselton,-33.65,115.3333,42.08,87,89,4.88,overcast clouds,2021-11-03 21:04:59
20,Rikitea,-23.1203,-134.9692,73.8,73,100,14.99,overcast clouds,2021-11-03 21:00:21
21,Gummidipundi,13.4,80.15,77.0,87,96,3.67,moderate rain,2021-11-03 21:04:59
22,Cidreira,-30.1811,-50.2056,68.59,94,100,16.87,overcast clouds,2021-11-03 21:01:48
23,Marsa Matruh,31.3525,27.2453,73.63,71,0,8.43,clear sky,2021-11-03 21:05:00
24,Vaini,-21.2,-175.2,77.67,80,97,14.79,overcast clouds,2021-11-03 21:02:02
25,Coihaique,-45.5752,-72.0662,50.61,66,90,9.22,light intensity shower rain,2021-11-03 21:05:00
26,Meulaboh,4.1363,96.1285,75.63,90,100,3.11,overcast clouds,2021-11-03 21:05:01
27,Sola,-13.8833,167.55,78.87,78,99,7.9,light rain,2021-11-03 21:05:01
28,Mao,39.8885,4.2658,54.16,76,0,3.44,clear sky,2021-11-03 21:01:18
29,Rantauprapat,2.1,99.8333,73.42,97,100,0.67,overcast clouds,2021-11-03 21:05:02
30,Ushuaia,-54.8,-68.3,46.53,84,100,7.67,overcast clouds,2021-11-03 21:00:43
